6.0,3.0&e4:5f:01:63:71:a3,-70.147;e4:5f:01:63:71:55,-76.845;e4:5f:01:63:71:b5,-81.133;e4:5f:01:63:71:e5,-75.24;e4:5f:01:63:71:64,-67.649
6.0,3.0&e4:5f:01:63:71:a3,-68.814;e4:5f:01:63:71:55,-75.866;e4:5f:01:63:71:b5,-83.456;e4:5f:01:63:71:e5,-74.899;e4:5f:01:63:71:64,-69.35
6.0,3.0&e4:5f:01:63:71:a3,-67.51;e4:5f:01:63:71:55,-75.999;e4:5f:01:63:71:b5,-82.288;e4:5f:01:63:71:e5,-75.83;e4:5f:01:63:71:64,-71.419
6.0,3.0&e4:5f:01:63:71:a3,-67.074;e4:5f:01:63:71:55,-74.793;e4:5f:01:63:71:b5,-83.509;e4:5f:01:63:71:e5,-75.754;e4:5f:01:63:71:64,-71.61
6.0,3.0&e4:5f:01:63:71:a3,-66.836;e4:5f:01:63:71:55,-74.972;e4:5f:01:63:71:b5,-83.684;e4:5f:01:63:71:e5,-75.101;e4:5f:01:63:71:64,-73.662
6.0,3.0&e4:5f:01:63:71:a3,-67.192;e4:5f:01:63:71:55,-75.387;e4:5f:01:63:71:b5,-80.903;e4:5f:01:63:71:e5,-74.391;e4:5f:01:63:71:64,-71.915
6.0,6.0&e4:5f:01:63:71:a3,-69.666;e4:5f:01:63:71:55,-75.0;e4:5f:01:63:71:b5,-89.0;e4:5f:01:63:71:e5,-86.8;e4:5f:01:63:71:64,-61.8
6.0,6.0&e4:5f:01:63:71:a3,-69.534;e4:5f:01:63:71:55,-75.069;e4:5f:01:63:71:b5,-84.014;e4:5f:01:63:71:e5,-84.88;e4:5f:01:63:71:64,-62.136
6.0,6.0&e4:5f:01:63:71:a3,-70.43;e4:5f:01:63:71:55,-74.152;e4:5f:01:63:71:b5,-81.904;e4:5f:01:63:71:e5,-82.791;e4:5f:01:63:71:64,-63.12
6.0,6.0&e4:5f:01:63:71:a3,-69.64;e4:5f:01:63:71:55,-75.204;e4:5f:01:63:71:b5,-77.006;e4:5f:01:63:71:e5,-80.52;e4:5f:01:63:71:64,-65.291
6.0,6.0&e4:5f:01:63:71:a3,-71.872;e4:5f:01:63:71:55,-74.052;e4:5f:01:63:71:b5,-74.352;e4:5f:01:63:71:e5,-78.346;e4:5f:01:63:71:64,-68.462
6.0,6.0&e4:5f:01:63:71:a3,-79.374;e4:5f:01:63:71:55,-73.895;e4:5f:01:63:71:b5,-73.164;e4:5f:01:63:71:e5,-78.564;e4:5f:01:63:71:64,-68.211
6.0,6.0&e4:5f:01:63:71:a3,-82.524;e4:5f:01:63:71:55,-73.49;e4:5f:01:63:71:b5,-72.865;e4:5f:01:63:71:e5,-77.752;e4:5f:01:63:71:64,-67.498
6.0,6.0&e4:5f:01:63:71:a3,-80.826;e4:5f:01:63:71:55,-73.02;e4:5f:01:63:71:b5,-72.204;e4:5f:01:63:71:e5,-80.552;e4:5f:01:63:71:64,-68.475
6.0,6.0&e4:5f:01:63:71:a3,-79.556;e4:5f:01:63:71:55,-73.776;e4:5f:01:63:71:b5,-70.655;e4:5f:01:63:71:e5,-81.421;e4:5f:01:63:71:64,-68.169
6.0,6.0&e4:5f:01:63:71:a3,-77.689;e4:5f:01:63:71:55,-76.843;e4:5f:01:63:71:b5,-70.999;e4:5f:01:63:71:e5,-81.36;e4:5f:01:63:71:64,-66.022
0.0,-3.0&e4:5f:01:63:71:a3,-78.0;e4:5f:01:63:71:55,-80.33;e4:5f:01:63:71:b5,-59.33;e4:5f:01:63:71:e5,-74.77;e4:5f:01:63:71:64,-82.85
0.0,-3.0&e4:5f:01:63:71:a3,-80.43;e4:5f:01:63:71:55,-77.81;e4:5f:01:63:71:b5,-58.16;e4:5f:01:63:71:e5,-72.82;e4:5f:01:63:71:64,-79.9
0.0,-3.0&e4:5f:01:63:71:a3,-80.26;e4:5f:01:63:71:55,-75.04;e4:5f:01:63:71:b5,-57.9;e4:5f:01:63:71:e5,-74.66;e4:5f:01:63:71:64,-77.4
0.0,-3.0&e4:5f:01:63:71:a3,-77.8;e4:5f:01:63:71:55,-78.54;e4:5f:01:63:71:b5,-56.25;e4:5f:01:63:71:e5,-75.88;e4:5f:01:63:71:64,-75.76
0.0,-3.0&e4:5f:01:63:71:a3,-76.98;e4:5f:01:63:71:55,-84.06;e4:5f:01:63:71:b5,-55.52;e4:5f:01:63:71:e5,-78.33;e4:5f:01:63:71:64,-72.57
0.0,-3.0&e4:5f:01:63:71:a3,-77.26;e4:5f:01:63:71:55,-82.87;e4:5f:01:63:71:b5,-59.43;e4:5f:01:63:71:e5,-81.37;e4:5f:01:63:71:64,-78.1
0.0,-3.0&e4:5f:01:63:71:a3,-80.65;e4:5f:01:63:71:55,-80.2;e4:5f:01:63:71:b5,-57.23;e4:5f:01:63:71:e5,-83.03;e4:5f:01:63:71:64,-74.1
0.0,-3.0&e4:5f:01:63:71:a3,-80.26;e4:5f:01:63:71:55,-77.17;e4:5f:01:63:71:b5,-56.45;e4:5f:01:63:71:e5,-79.01;e4:5f:01:63:71:64,-72.37
0.0,-3.0&e4:5f:01:63:71:a3,-78.6;e4:5f:01:63:71:55,-76.5;e4:5f:01:63:71:b5,-57.04;e4:5f:01:63:71:e5,-79.41;e4:5f:01:63:71:64,-71.52
